969140360237.explainer.xml,969140360237
 ,"In this explainer, we will learn how to solve equations involving the absolute value."
 ,None
 ,Rhodri Jones
972198025105.explainer.xml,972198025105
 ,"In this explainer, we will learn how to identify different
    tools for the measurement of fundamental physical quantities."
 ,None
 ,Simeon Every
973130769145.explainer.xml,973130769145
 ,None
 ,816154794708
 ,Graham Ely
973145156531.explainer.xml,973145156531
 ,None
 ,230191639106
 ,Sarah Garry
974125905106.explainer.xml,974125905106
 ,"In this explainer, we will learn how to find geometric means between two nonconsecutive terms of a geometric sequence."
 ,872143063508
 ,Seungly Oh
979165921053.explainer.xml,979165921053
 ,"In this explainer, we will learn how to construct and calculate the equilibrium constant for concentration."
 ,187172546121
 ,Harry Shuttleworth
980162532502.explainer.xml,980162532502
 ,"In this explainer, we will learn how to define, determine, 
    and convert between a compound’s empirical and molecular formulas."
 ,706193561646
 ,Fallon Simpson
985161036067.explainer.xml,985161036067
 ,"In this explainer, we will learn how to find the probability of a simple event."
 ,853160946083
 ,Anita Piatek
985195836913.explainer.xml,985195836913
 ,"In this explainer, we will learn how to work out 
    𝑛th roots of integers, where 𝑛 is a positive integer greater than or 
    equal to 2."
 ,853160946083
 ,None
989130863985.explainer.xml,989130863985
 ,"In this explainer, we will learn how to calculate the displacement or acceleration of a particle moving 
    in a straight line from its velocity–time graph."
 ,585152746587
 ,None
